iter	Passed	Remaining
0	1	135
1	3	156
2	4	131
3	4	111
4	5	101
5	6	94
6	7	93
7	7	88
8	8	84
9	9	81
10	9	79
11	10	76
12	12	83
13	13	83
14	15	86
15	16	87
16	17	85
17	18	82
18	18	80
19	19	78
20	20	76
21	20	74
22	21	72
23	22	70
24	23	69
25	23	67
26	24	66
27	26	68
28	27	67
29	29	68
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	60
38	37	59
39	38	57
40	39	56
41	39	54
42	41	54
43	42	54
44	43	53
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	48	47
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	53	39
58	55	38
59	58	38
60	59	37
61	60	37
62	61	36
63	62	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	75	18
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	82	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	91	4
95	92	3
96	93	2
97	94	1
98	94	0
99	95	0
